Open time,Open,Close,Volume,CHG,stocRSI,MACD
2017-08-17,4261.48,4285.08,795.150377,0.55,0,0.0
2017-08-18,4285.08,4108.37,1199.888264,-4.12,0,-11.28
2017-08-19,4108.37,4139.98,381.309763,0.77,100.0,-15.71
2017-08-20,4120.98,4086.29,467.083022,-0.84,79.51,-21.03
2017-08-21,4069.13,4016.0,691.74306,-1.31,62.69,-27.64
2017-08-22,4016.0,4040.0,966.684858,0.6,100.0,-28.63
2017-08-23,4040.0,4114.01,1001.136565,1.83,100.0,-22.79
2017-08-24,4147.0,4316.01,787.418753,4.08,100.0,-4.75
2017-08-25,4316.01,4280.68,573.61274,-0.82,94.71,4.85
2017-08-26,4280.71,4337.44,228.108068,1.33,100.0,14.52
2017-08-27,4332.51,4310.01,350.692585,-0.52,96.35,18.33
2017-08-28,4310.01,4386.69,603.841616,1.78,100.0,24.87
2017-08-29,4353.65,4587.48,603.545028,5.37,100.0,40.63
2017-08-30,4564.52,4555.14,808.468771,-0.21,96.95,46.38
2017-08-31,4555.14,4724.89,556.956802,3.73,100.0,58.35
2017-09-01,4689.89,4834.91,560.666366,3.09,100.0,69.64
2017-09-02,4796.16,4472.14,929.148595,-6.76,71.98,49.58
2017-09-03,4508.5,4509.08,691.216198,0.01,76.43,36.32
2017-09-04,4505.0,4100.11,1394.644614,-8.99,55.97,-0.52
2017-09-05,4106.97,4366.47,1228.938157,6.32,54.44,-7.11
2017-09-06,4366.49,4619.77,807.363726,5.8,36.87,4.78
2017-09-07,4619.77,4691.61,500.429975,1.56,29.29,16.05
2017-09-08,4691.66,4282.8,1132.255046,-8.71,0.0,-4.38
2017-09-09,4282.8,4258.81,658.782952,-0.56,0.0,-19.03
2017-09-10,4258.81,4130.37,660.373275,-3.02,0.0,-35.92
2017-09-11,4153.62,4208.47,699.989065,1.32,0.09,-40.06
2017-09-12,4208.6,4163.72,879.630319,-1.07,0.0,-43.74
2017-09-13,4159.72,3944.69,913.462545,-5.17,0.0,-57.96
2017-09-14,3944.0,3189.02,1665.021543,-19.14,0.0,-112.17
2017-09-15,3188.01,3700.0,1968.866492,16.06,21.64,-107.49
2017-09-16,3674.01,3714.95,1297.563953,1.11,32.4,-97.58
2017-09-17,3685.23,3699.99,682.17121,0.4,32.63,-86.58
2017-09-18,3690.0,4035.01,1030.006455,9.35,65.28,-52.94
2017-09-19,4060.0,3910.04,902.332129,-3.69,46.69,-36.12
2017-09-20,3910.04,3900.0,720.935076,-0.26,33.52,-23.3
2017-09-21,3889.99,3609.99,1001.654084,-7.2,24.55,-31.47
2017-09-22,3592.84,3595.87,838.966425,0.08,46.75,-34.7
2017-09-23,3595.88,3780.0,752.792791,5.12,66.61,-21.92
2017-09-24,3779.54,3660.02,661.63639,-3.16,67.16,-19.15
2017-09-25,3660.02,3920.75,727.994713,7.12,83.09,1.56
2017-09-26,3928.0,3882.35,526.727987,-1.16,83.52,13.32
2017-09-27,3882.36,4193.0,628.170966,8.0,100.0,41.11
2017-09-28,4192.11,4174.5,849.785325,-0.42,100.0,56.38
2017-09-29,4178.98,4174.69,1602.309565,-0.1,79.46,64.08
2017-09-30,4175.0,4378.51,720.353183,4.87,88.32,79.47
2017-10-01,4378.49,4378.48,726.963685,-0.0,89.63,85.68
2017-10-02,4400.0,4380.0,655.756974,-0.45,72.67,85.73
2017-10-03,4380.0,4310.0,1082.323563,-1.6,78.14,77.14
2017-10-04,4314.9,4208.59,868.465101,-2.46,69.25,61.42
2017-10-05,4208.59,4292.43,779.138638,1.99,100.0,53.72
2017-10-06,4318.99,4369.0,506.529176,1.16,100.0,50.88
2017-10-07,4369.0,4423.0,297.5975,1.24,93.41,49.67
2017-10-08,4425.0,4640.0,518.462004,4.86,100.0,59.83
2017-10-09,4640.0,4786.95,646.463145,3.17,96.49,71.99
2017-10-10,4786.95,4783.06,1043.221773,-0.08,100.0,74.97
2017-10-11,4783.06,4821.43,753.429396,0.8,84.12,74.56
2017-10-12,4821.43,5430.0,1276.701482,12.62,100.0,108.27
2017-10-13,5439.99,5649.98,1879.82762,3.86,100.0,136.56
2017-10-14,5650.0,5869.99,970.759046,3.89,100.0,159.65
2017-10-15,5855.03,5709.99,1343.523375,-2.48,76.62,153.66
2017-10-16,5710.0,5760.02,1528.996462,0.88,77.9,142.81
2017-10-17,5760.0,5595.0,1429.869376,-2.86,65.92,115.43
2017-10-18,5595.0,5512.06,2317.804373,-1.48,40.28,84.1
2017-10-19,5513.0,5683.9,1881.722107,3.1,44.95,68.01
2017-10-20,5683.31,6010.01,1972.97722,5.75,56.37,72.01
2017-10-21,6013.72,6024.97,1664.307693,0.19,29.2,68.36
2017-10-22,6003.27,5950.02,1362.092216,-0.89,0.0,54.21
2017-10-23,5975.0,5915.93,1812.557715,-0.99,0.0,36.72
2017-10-24,5909.47,5477.03,2580.418767,-7.32,0.0,-7.88
2017-10-25,5506.92,5689.99,2282.813205,3.32,8.48,-25.5
2017-10-26,5670.1,5861.77,1972.965882,3.38,0.0,-27.87
2017-10-27,5861.77,5768.83,1403.706416,-1.59,0.0,-37.38
2017-10-28,5768.79,5719.64,1276.754412,-0.85,0.0,-48.0
2017-10-29,5709.98,6169.98,1804.778173,8.06,36.22,-26.75
2017-10-30,6133.01,6120.5,1473.687043,-0.2,30.82,-18.49
2017-10-31,6120.52,6463.0,1511.774925,5.6,56.66,6.25
2017-11-01,6463.0,6753.98,1675.615188,4.5,71.68,36.73
2017-11-02,6753.98,7019.98,2503.610803,3.94,74.14,67.53
2017-11-03,7010.31,7115.04,1891.497592,1.49,68.28,85.84
2017-11-04,7115.02,7357.09,1399.191767,3.4,84.58,104.57
2017-11-05,7357.27,7345.01,1207.83233,-0.17,97.89,106.11
2017-11-06,7345.1,6960.12,1763.019261,-5.24,70.63,72.76
2017-11-07,6981.72,7064.04,1440.259494,1.18,100.0,50.32
2017-11-08,7070.0,7303.0,2822.298802,3.3,100.0,44.4
2017-11-09,7303.01,7079.99,1913.398308,-3.05,77.08,19.57
2017-11-10,7079.0,6506.98,3254.704105,-8.08,45.39,-38.21
2017-11-11,6503.0,6245.05,2754.156861,-3.97,0.0,-93.66
2017-11-12,6245.05,5811.03,4968.483069,-6.95,0.0,-155.51
2017-11-13,5839.94,6465.99,2621.243039,10.72,27.32,-148.29
2017-11-14,6465.99,6574.99,1254.292531,1.69,19.24,-132.65
2017-11-15,6575.99,7240.06,1779.605845,10.1,31.76,-76.77
2017-11-16,7240.14,7864.5,2331.95675,8.62,41.86,-1.01
2017-11-17,7876.98,7699.19,3982.395925,-2.26,33.3,32.83
2017-11-18,7680.01,7761.94,3954.266477,1.07,28.19,53.12
2017-11-19,7761.94,8038.0,3867.340444,3.56,36.33,77.33
2017-11-20,8057.11,8212.0,3886.634348,1.92,55.31,96.04
2017-11-21,8212.49,8119.51,4544.474016,-1.13,49.07,93.1
2017-11-22,8091.09,8205.92,3545.00571,1.42,57.86,87.95
2017-11-23,8233.03,8019.99,4093.952687,-2.59,84.36,64.1
2017-11-24,8019.97,8138.0,4411.789112,1.47,100.0,49.03
2017-11-25,8138.99,8700.01,4292.623682,6.89,100.0,68.48
2017-11-26,8700.04,9128.02,4147.380237,4.92,100.0,99.84
2017-11-27,9128.0,9650.0,4521.625707,5.72,99.09,142.79
2017-11-28,9650.0,9896.8,4917.210985,2.56,100.0,172.86
