Open time,Open,Close,Volume,CHG,stocRSI,MACD
2017-08-17 04:00:00,4261.48,4308.83,47.181009,1.11,,0.0
2017-08-17 05:00:00,4308.83,4315.32,23.234916,0.15,,0.41
2017-08-17 06:00:00,4330.29,4324.35,7.229691,-0.14,,1.23
2017-08-17 07:00:00,4316.62,4349.99,4.443249,0.77,,3.31
2017-08-17 08:00:00,4333.32,4360.69,0.972807,0.63,,5.11
2017-08-17 09:00:00,4360.0,4444.0,10.763623,1.93,,11.26
2017-08-17 10:00:00,4441.1,4460.0,24.865399,0.43,,15.5
2017-08-17 11:00:00,4460.0,4427.3,27.018053,-0.73,0.0,15.17
2017-08-17 12:00:00,4436.06,4411.0,23.032398,-0.56,0.0,13.02
2017-08-17 13:00:00,4411.0,4459.0,31.312436,1.09,19.34,13.9
2017-08-17 14:00:00,4459.0,4470.82,51.735897,0.27,23.01,14.29
2017-08-17 15:00:00,4470.82,4352.34,68.48127,-2.65,0.0,6.02
2017-08-17 16:00:00,4352.33,4354.18,67.458791,0.04,0.48,0.41
2017-08-17 17:00:00,4354.18,4289.24,59.664912,-1.49,0.0,-7.5
2017-08-17 18:00:00,4289.24,4256.97,51.275163,-0.75,0.0,-14.33
2017-08-17 19:00:00,4241.91,4325.23,46.71085,1.96,11.45,-13.69
2017-08-17 20:00:00,4307.56,4346.74,48.975472,0.91,13.46,-11.34
2017-08-17 21:00:00,4346.74,4333.55,61.773036,-0.3,7.05,-10.23
2017-08-17 22:00:00,4333.55,4336.8,57.376142,0.07,5.74,-8.89
2017-08-17 23:00:00,4313.39,4285.08,81.645263,-0.66,0.0,-10.96
2017-08-18 00:00:00,4285.08,4286.53,82.435474,0.03,0.0,-11.65
2017-08-18 01:00:00,4269.36,4243.59,75.684883,-0.6,0.0,-14.23
2017-08-18 02:00:00,4251.95,4267.59,54.071337,0.37,8.62,-13.56
2017-08-18 03:00:00,4244.77,4292.39,64.001349,1.12,2.38,-10.81
2017-08-18 04:00:00,4292.39,4287.92,50.797515,-0.1,0.0,-8.75
2017-08-18 05:00:00,4287.92,4313.56,64.169286,0.6,56.27,-5.27
2017-08-18 06:00:00,4313.56,4279.46,64.235424,-0.79,48.1,-4.9
2017-08-18 07:00:00,4279.46,4300.25,69.186804,0.49,97.5,-2.98
2017-08-18 08:00:00,4285.0,4282.73,74.829849,-0.05,100.0,-2.62
2017-08-18 09:00:00,4265.33,4304.15,45.653156,0.91,69.19,-0.78
2017-08-18 10:00:00,4304.15,4356.31,51.563675,1.21,90.32,3.87
2017-08-18 11:00:00,4356.31,4340.31,24.093449,-0.37,88.47,5.67
2017-08-18 12:00:00,4320.52,4331.71,15.118957,0.26,80.94,6.05
2017-08-18 13:00:00,4302.97,4293.09,46.533767,-0.23,89.39,3.59
2017-08-18 14:00:00,4293.09,4259.4,74.368943,-0.78,67.96,-0.21
2017-08-18 15:00:00,4259.4,4236.89,39.947717,-0.53,79.91,-3.94
2017-08-18 16:00:00,4234.54,4250.34,45.038824,0.37,72.9,-5.13
2017-08-18 17:00:00,4250.34,4193.35,62.691466,-1.34,25.24,-9.14
2017-08-18 18:00:00,4171.17,4117.41,25.318654,-1.29,0.0,-15.91
2017-08-18 19:00:00,4086.28,4136.28,60.598026,1.22,0.0,-17.95
2017-08-18 20:00:00,4135.0,4021.11,19.968037,-2.75,0.0,-25.45
2017-08-18 21:00:00,4015.4,3975.69,14.738631,-0.99,0.0,-31.46
2017-08-18 22:00:00,3996.92,4113.75,29.906205,2.92,54.92,-24.44
2017-08-18 23:00:00,4106.35,4108.37,44.936836,0.05,47.3,-18.72
2017-08-19 00:00:00,4108.37,4163.49,41.308877,1.34,48.57,-10.21
2017-08-19 01:00:00,4163.49,4148.53,28.835177,-0.36,48.75,-4.85
2017-08-19 02:00:00,4148.53,4156.39,18.754474,0.19,52.77,-0.28
2017-08-19 03:00:00,4180.0,4138.55,19.61192,-0.99,60.85,1.92
2017-08-19 04:00:00,4138.5,4068.26,17.353232,-1.7,53.71,-0.83
2017-08-19 05:00:00,4123.95,4077.0,12.514194,-1.14,64.48,-1.5
2017-08-19 06:00:00,4077.0,3986.87,51.455431,-2.21,67.13,-7.13
2017-08-19 07:00:00,3969.12,4033.47,31.429222,1.62,100.0,-6.83
2017-08-19 08:00:00,4033.47,3999.0,18.006405,-0.85,100.0,-8.0
2017-08-19 09:00:00,3999.0,4068.2,5.184223,1.73,100.0,-3.38
2017-08-19 10:00:00,4054.0,4000.58,5.886831,-1.32,100.0,-4.11
2017-08-19 11:00:00,4016.0,3957.6,48.178583,-1.45,100.0,-6.57
2017-08-19 12:00:00,3945.12,4095.0,22.230984,3.8,99.7,1.55
2017-08-19 13:00:00,4095.0,4039.84,12.705664,-1.35,79.8,3.57
2017-08-19 14:00:00,4066.0,4042.41,4.334426,-0.58,54.26,5.35
2017-08-19 15:00:00,4036.59,3972.05,8.244504,-1.6,35.7,2.21
2017-08-19 16:00:00,4036.19,4000.0,4.084177,-0.9,45.66,2.42
2017-08-19 17:00:00,3985.0,4027.37,3.069548,1.06,64.24,4.68
2017-08-19 18:00:00,4013.69,4086.29,17.148202,1.81,100.0,10.11
2017-08-19 19:00:00,4073.47,4076.12,1.623129,0.07,93.44,12.81
2017-08-19 20:00:00,4088.71,4075.98,2.98757,-0.31,100.0,14.26
2017-08-19 21:00:00,4075.98,4074.23,3.952194,-0.04,81.75,14.73
2017-08-19 22:00:00,4090.0,4139.98,2.358097,1.22,100.0,18.82
2017-08-19 23:00:00,4120.78,4139.98,0.052699,0.47,79.64,20.74
2017-08-20 00:00:00,4120.98,4086.09,2.343924,-0.85,85.63,17.7
2017-08-20 01:00:00,4086.09,4082.53,1.061151,-0.09,100.0,14.89
2017-08-20 02:00:00,4096.33,4124.69,2.858561,0.69,64.73,15.25
2017-08-20 03:00:00,4111.26,4094.62,0.347647,-0.4,78.7,12.94
2017-08-20 04:00:00,4094.62,4093.0,0.809243,-0.04,76.59,10.86
2017-08-20 05:00:00,4087.0,4117.41,10.743056,0.74,100.0,10.67
2017-08-20 06:00:00,4117.41,4115.41,2.915551,-0.05,89.51,9.96
2017-08-20 07:00:00,4081.4,4155.87,14.13606,1.82,91.82,11.66
2017-08-20 08:00:00,4155.87,4184.73,17.395516,0.69,77.32,14.0
2017-08-20 09:00:00,4155.0,4155.0,0.39588,0.0,50.15,12.86
2017-08-20 10:00:00,4140.0,4142.41,0.947044,0.06,37.05,10.66
2017-08-20 11:00:00,4104.68,4106.53,17.281503,0.05,4.7,6.4
2017-08-20 12:00:00,4106.53,4108.47,2.76584,0.05,0.0,3.46
2017-08-20 13:00:00,4125.0,4063.35,1.258162,-1.49,0.0,-1.49
2017-08-20 14:00:00,4096.32,4096.32,1.46565,0.0,39.09,-2.47
2017-08-20 15:00:00,4100.0,4125.0,23.623614,0.61,52.97,-1.17
2017-08-20 16:00:00,4125.0,4131.46,23.366978,0.16,37.55,0.08
2017-08-20 17:00:00,4131.46,4129.0,49.216664,-0.06,52.68,0.65
2017-08-20 18:00:00,4129.32,4154.56,48.088875,0.61,64.77,2.56
2017-08-20 19:00:00,4154.56,4164.6,49.323,0.24,62.11,4.21
2017-08-20 20:00:00,4161.59,4140.93,53.437635,-0.5,49.26,3.45
2017-08-20 21:00:00,4140.93,4150.0,35.727424,0.22,36.54,3.31
2017-08-20 22:00:00,4162.59,4169.98,38.098577,0.18,35.95,4.24
2017-08-20 23:00:00,4151.14,4086.29,69.475467,-1.56,3.45,-0.83
2017-08-21 00:00:00,4069.13,4108.28,53.091325,0.96,28.98,-2.64
2017-08-21 01:00:00,4108.28,4094.6,55.969147,-0.33,43.93,-4.59
2017-08-21 02:00:00,4094.6,4079.94,58.961149,-0.36,32.34,-6.58
2017-08-21 03:00:00,4079.94,4084.76,52.816522,0.12,69.24,-7.22
2017-08-21 04:00:00,4079.26,4104.68,39.490772,0.62,58.54,-6.01
2017-08-21 05:00:00,4104.68,4016.9,67.180302,-2.14,0.0,-10.57
2017-08-21 06:00:00,4011.04,3982.96,66.697745,-0.7,0.0,-15.03
2017-08-21 07:00:00,3982.96,4043.63,49.20631,1.52,33.87,-13.14
2017-08-21 08:00:00,4043.63,4036.3,54.912335,-0.18,20.22,-11.66
2017-08-21 09:00:00,4036.3,4074.0,3.904708,0.93,40.44,-7.63
2017-08-21 10:00:00,4066.0,4088.1,5.090504,0.54,58.69,-3.69
2017-08-21 11:00:00,4063.0,4023.11,14.970767,-0.98,29.35,-5.06
2017-08-21 12:00:00,4023.11,4000.0,6.47768,-0.57,11.01,-7.0
2017-08-21 13:00:00,4000.0,3951.49,22.207985,-1.21,21.73,-10.8
2017-08-21 14:00:00,3914.59,3989.17,7.695301,1.91,30.93,-10.04
2017-08-21 15:00:00,3967.5,4022.0,7.38183,1.37,53.24,-6.75
2017-08-21 16:00:00,4005.99,4029.05,7.316543,0.58,62.31,-3.68
2017-08-21 17:00:00,4019.99,4016.2,5.072528,-0.09,60.47,-2.16
2017-08-21 18:00:00,3997.57,3918.8,3.884477,-1.97,24.33,-7.1
2017-08-21 19:00:00,3918.8,4027.05,8.193382,2.76,100.0,-2.67
2017-08-21 20:00:00,4027.05,4025.04,32.108599,-0.05,100.0,0.36
2017-08-21 21:00:00,4025.04,4039.1,39.356712,0.35,79.99,3.38
2017-08-21 22:00:00,4039.1,4041.1,18.792654,0.05,84.35,5.46
2017-08-21 23:00:00,4025.0,4016.0,10.963783,-0.22,54.17,5.09
2017-08-22 00:00:00,4016.0,3790.0,60.339017,-5.63,0.0,-9.61
2017-08-22 01:00:00,3790.0,3700.0,30.126509,-2.37,0.0,-23.84
2017-08-22 02:00:00,3700.0,3849.98,8.334604,4.05,51.65,-21.65
2017-08-22 03:00:00,3822.5,3862.39,15.885216,1.04,64.48,-18.01
2017-08-22 04:00:00,3863.0,3500.8,28.666039,-9.38,3.21,-37.48
2017-08-22 05:00:00,3500.8,3626.99,14.49939,3.6,23.95,-39.21
2017-08-22 06:00:00,3619.95,3803.0,62.096369,5.06,54.48,-26.45
2017-08-22 07:00:00,3803.0,3798.08,61.959721,-0.13,55.39,-16.77
2017-08-22 08:00:00,3798.08,3794.12,36.868111,-0.1,67.02,-9.42
2017-08-22 09:00:00,3794.12,3904.56,76.172178,2.91,67.38,3.39
2017-08-22 10:00:00,3904.56,3844.08,59.322181,-1.55,68.66,8.05
2017-08-22 11:00:00,3844.07,3866.48,49.368766,0.58,70.18,12.63
2017-08-22 12:00:00,3866.48,3934.01,75.787584,1.75,100.0,19.76
2017-08-22 13:00:00,3949.01,3920.99,38.623871,-0.71,100.0,22.94
2017-08-22 14:00:00,3874.38,3849.0,26.182528,-0.66,100.0,19.65
2017-08-22 15:00:00,3829.5,3858.23,38.764438,0.75,100.0,17.62
2017-08-22 16:00:00,3858.23,3905.84,34.779778,1.23,85.45,18.9
2017-08-22 17:00:00,3905.84,3943.0,45.279128,0.95,89.21,21.48
2017-08-22 18:00:00,3944.0,4043.76,45.132143,2.53,100.0,28.74
2017-08-22 19:00:00,4071.22,3984.24,34.344606,-2.14,77.15,28.26
2017-08-22 20:00:00,3984.5,3960.29,30.512424,-0.61,50.99,25.17
2017-08-22 21:00:00,3960.29,3946.67,21.285573,-0.34,47.3,21.19
2017-08-22 22:00:00,3999.96,4002.0,31.264903,0.05,56.18,21.23
2017-08-22 23:00:00,4009.1,4040.0,41.089781,0.77,45.57,22.62
2017-08-23 00:00:00,4040.0,4036.0,23.850037,-0.1,61.06,22.06
2017-08-23 01:00:00,4048.1,4100.0,46.57641,1.28,64.61,24.6
2017-08-23 02:00:00,4101.53,4083.72,45.835226,-0.43,47.81,23.76
2017-08-23 03:00:00,4083.72,4100.41,43.396711,0.41,46.53,22.9
2017-08-23 04:00:00,4084.54,4083.6,37.869418,-0.02,70.82,19.88
2017-08-23 05:00:00,4084.0,4053.18,32.819431,-0.75,54.69,14.76
2017-08-23 06:00:00,4064.0,4080.0,35.942493,0.39,48.41,12.2
2017-08-23 07:00:00,4089.45,4074.88,35.208261,-0.36,14.69,9.32
2017-08-23 08:00:00,4081.63,4124.0,37.697918,1.04,0.0,9.82
2017-08-23 09:00:00,4123.88,4203.12,40.181197,1.92,100.0,14.32
2017-08-23 10:00:00,4208.11,4228.02,24.062874,0.47,100.0,17.59
2017-08-23 11:00:00,4203.12,4237.99,33.082033,0.83,100.0,18.92
2017-08-23 12:00:00,4205.98,4215.68,62.63869,0.23,71.06,16.87
2017-08-23 13:00:00,4215.68,4211.0,81.248254,-0.11,56.85,13.89
2017-08-23 14:00:00,4166.89,4174.0,58.313942,0.17,31.72,8.39
2017-08-23 15:00:00,4174.0,4197.05,35.159683,0.55,16.11,5.42
2017-08-23 16:00:00,4226.94,4210.03,71.149755,-0.4,33.75,3.52
2017-08-23 17:00:00,4220.56,4166.27,39.170494,-1.29,0.0,-1.22
2017-08-23 18:00:00,4166.27,4143.37,31.864933,-0.55,0.0,-6.17
2017-08-23 19:00:00,4143.37,4117.07,32.452403,-0.63,2.38,-11.19
2017-08-23 20:00:00,4136.48,4118.4,42.757657,-0.44,0.0,-14.21
2017-08-23 21:00:00,4105.25,4090.0,41.068084,-0.37,0.0,-17.67
2017-08-23 22:00:00,4090.0,4114.2,27.138664,0.59,0.0,-17.84
2017-08-23 23:00:00,4151.88,4114.01,41.651997,-0.91,0.0,-17.45
2017-08-24 00:00:00,4147.0,4131.0,30.111736,-0.39,0.0,-15.59
2017-08-24 01:00:00,4132.0,4140.91,30.566278,0.22,0.0,-13.32
2017-08-24 02:00:00,4141.88,4131.92,27.829502,-0.24,4.04,-12.1
2017-08-24 03:00:00,4146.97,4113.58,35.012634,-0.81,0.0,-12.16
2017-08-24 04:00:00,4113.58,4113.98,32.247571,0.01,14.52,-11.8
2017-08-24 05:00:00,4113.98,4132.09,28.158769,0.44,10.76,-10.04
2017-08-24 06:00:00,4132.09,4133.42,29.921536,0.03,1.65,-8.54
2017-08-24 07:00:00,4153.97,4153.32,32.851584,-0.02,55.69,-6.07
2017-08-24 08:00:00,4153.8,4200.0,32.275428,1.11,100.0,-1.41
2017-08-24 09:00:00,4200.0,4165.01,38.916346,-0.83,92.23,-0.83
2017-08-24 10:00:00,4166.0,4173.98,66.494552,0.19,96.39,-0.02
2017-08-24 11:00:00,4173.98,4202.0,33.800162,0.67,100.0,2.09
2017-08-24 12:00:00,4211.78,4150.89,31.360472,-1.45,59.7,-0.13
2017-08-24 13:00:00,4167.69,4157.74,38.640678,-0.24,62.43,-1.26
2017-08-24 14:00:00,4173.11,4221.0,52.315975,1.15,77.22,1.95
2017-08-24 15:00:00,4235.9,4222.0,24.680217,-0.33,74.72,3.75
2017-08-24 16:00:00,4223.06,4215.0,29.31562,-0.19,75.71,4.04
2017-08-24 17:00:00,4225.5,4188.18,27.542633,-0.88,71.27,2.1
2017-08-24 18:00:00,4188.18,4221.0,28.000581,0.78,79.98,2.66
2017-08-24 19:00:00,4234.0,4216.07,26.720524,-0.42,73.03,2.35
2017-08-24 20:00:00,4216.1,4193.5,22.598965,-0.54,43.65,0.37
2017-08-24 21:00:00,4208.1,4207.0,23.743291,-0.03,4.5,-0.24
2017-08-24 22:00:00,4207.0,4326.23,28.537979,2.83,48.2,6.78
2017-08-24 23:00:00,4326.24,4316.01,35.77572,-0.24,72.56,9.94
2017-08-25 00:00:00,4316.01,4366.0,48.189784,1.16,89.97,14.34
2017-08-25 01:00:00,4368.0,4333.01,36.700204,-0.8,52.39,13.95
2017-08-25 02:00:00,4333.01,4363.71,27.696571,0.71,100.0,14.61
2017-08-25 03:00:00,4346.14,4312.69,28.517967,-0.77,50.92,10.65
2017-08-25 04:00:00,4312.69,4310.2,30.476973,-0.06,18.85,7.08
2017-08-25 05:00:00,4296.63,4281.04,17.86787,-0.36,0.0,2.21
2017-08-25 06:00:00,4294.79,4302.72,31.839845,0.18,16.17,0.03
2017-08-25 07:00:00,4302.72,4329.0,21.324855,0.61,48.45,-0.06
2017-08-25 08:00:00,4317.81,4332.17,21.362133,0.33,35.25,-0.3
2017-08-25 09:00:00,4332.17,4344.56,12.23636,0.29,45.04,-0.05
2017-08-25 10:00:00,4344.56,4314.33,15.039453,-0.7,38.78,-2.22
2017-08-25 11:00:00,4331.67,4361.27,25.795114,0.68,52.82,-0.85
2017-08-25 12:00:00,4361.27,4309.69,110.998609,-1.18,0.0,-3.64
2017-08-25 13:00:00,4311.69,4312.0,20.801018,0.01,5.72,-5.42
