Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore
2023-01-01 00:00:00,16541.77000000,16544.76000000,16520.00000000,16520.69000000,1172.53835000,2023-01-01 00:14:59.999,19384546.35314420,37484,553.35053000,9148049.50224960,0
2023-01-01 00:15:00,16521.26000000,16545.70000000,16517.72000000,16544.19000000,1102.62888000,2023-01-01 00:29:59.999,18229816.94388640,33528,588.35947000,9727374.91925640,0
2023-01-01 00:30:00,16544.19000000,16544.61000000,16508.39000000,16515.43000000,1365.65633000,2023-01-01 00:44:59.999,22565292.32853300,48518,664.46239000,10979132.11034350,0
2023-01-01 00:45:00,16515.91000000,16536.84000000,16515.43000000,16529.67000000,724.01214000,2023-01-01 00:59:59.999,11966637.96115930,30324,373.77533000,6177796.33850770,0
2023-01-01 01:00:00,16529.59000000,16541.80000000,16525.78000000,16538.21000000,977.24680000,2023-01-01 01:14:59.999,16158676.33389400,32200,458.02292000,7573419.42840200,0
2023-01-01 01:15:00,16537.68000000,16540.82000000,16530.76000000,16534.60000000,661.68521000,2023-01-01 01:29:59.999,10941202.31451270,27617,302.49773000,5002019.58632340,0
2023-01-01 01:30:00,16534.02000000,16543.38000000,16530.62000000,16539.94000000,792.69185000,2023-01-01 01:44:59.999,13108646.25853330,30170,388.61598000,6426522.64510070,0
2023-01-01 01:45:00,16539.94000000,16556.80000000,16538.03000000,16551.47000000,1158.44283000,2023-01-01 01:59:59.999,19168232.43766920,36569,581.11238000,9615454.34503820,0
2023-01-01 02:00:00,16551.47000000,16551.59000000,16539.57000000,16549.03000000,903.09653000,2023-01-01 02:14:59.999,14940888.34215480,30782,437.35249000,7235663.85185990,0
2023-01-01 02:15:00,16549.02000000,16555.00000000,16546.48000000,16552.89000000,804.41804000,2023-01-01 02:29:59.999,13313376.72144630,28821,408.71856000,6764457.50029530,0
2023-01-01 02:30:00,16552.89000000,16559.77000000,16538.38000000,16538.77000000,879.62878000,2023-01-01 02:44:59.999,14558786.37954970,29971,395.88107000,6552542.27711900,0
2023-01-01 02:45:00,16538.77000000,16549.12000000,16538.14000000,16548.19000000,731.69703000,2023-01-01 02:59:59.999,12106401.93247050,25824,369.17090000,6108204.23846230,0
2023-01-01 03:00:00,16548.19000000,16548.19000000,16523.34000000,16527.87000000,1559.42213000,2023-01-01 03:14:59.999,25779531.59857580,46903,727.02409000,12018518.59245230,0
2023-01-01 03:15:00,16527.44000000,16533.09000000,16518.21000000,16529.89000000,1253.37828000,2023-01-01 03:29:59.999,20712974.26200320,40230,625.41291000,10335658.01805290,0
2023-01-01 03:30:00,16529.89000000,16537.42000000,16526.74000000,16533.68000000,726.21190000,2023-01-01 03:44:59.999,12006193.54018000,25769,394.39364000,6520457.15503240,0
2023-01-01 03:45:00,16533.68000000,16537.72000000,16529.53000000,16533.04000000,703.06819000,2023-01-01 03:59:59.999,11623842.53669540,24822,349.26223000,5774410.71959280,0
2023-01-01 04:00:00,16533.04000000,16535.97000000,16524.57000000,16526.12000000,840.02655000,2023-01-01 04:14:59.999,13885835.31381660,27254,393.50205000,6504744.69971690,0
