Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore
2018-01-01,13715.65000000,17176.24000000,12750.00000000,16150.03000000,120239.39935900,2018-01-07 23:59:59.999,1828148890.85411918,1087900,68117.13905900,1037992795.24942929,0
2018-01-08,16218.85000000,16322.30000000,11400.00000000,13474.99000000,137537.90456500,2018-01-14 23:59:59.999,1919927016.02062138,1176645,67529.52572500,944460208.02273536,0
2018-01-15,13477.98000000,14249.99000000,9035.00000000,11530.00000000,303127.50213700,2018-01-21 23:59:59.999,3434833014.70379800,2359135,148847.01839200,1689262267.44518783,0
2018-01-22,11530.00000000,12244.00000000,9900.24000000,11879.95000000,198030.05111700,2018-01-28 23:59:59.999,2184045152.49622084,1961464,95219.66417600,1049772766.29317178,0
2018-01-29,11879.95000000,11975.02000000,7930.00000000,8184.81000000,202016.40775900,2018-02-04 23:59:59.999,1896352538.67067303,2082917,92718.81910100,870670207.32739153,0
2018-02-05,8179.99000000,9065.78000000,6000.01000000,8063.88000000,340794.29213100,2018-02-11 23:59:59.999,2608962030.92850646,3182111,168442.58026900,1292031857.36801427,0
2018-02-12,8063.82000000,11274.00000000,8053.00000000,10383.43000000,311863.06813700,2018-02-18 23:59:59.999,3026660454.85449099,3359228,152843.46078700,1483899407.00701508,0
2018-02-19,10375.01000000,11786.01000000,9274.80000000,9590.00000000,350623.13291100,2018-02-25 23:59:59.999,3657589238.53289945,2886657,170833.28442700,1784040709.72463260,0
2018-02-26,9590.00000000,11565.00000000,9350.00000000,11515.00000000,183970.99761400,2018-03-04 23:59:59.999,1967477246.42707215,1604626,90364.52128500,967157347.68709032,0
2018-03-05,11515.00000000,11710.00000000,8329.00000000,9533.57000000,282035.22538200,2018-03-11 23:59:59.999,2719942892.64730906,2232004,135387.47704700,1305861453.01058947,0
2018-03-12,9533.57000000,9888.88000000,7322.00000000,8189.99000000,315835.15160600,2018-03-18 23:59:59.999,2657745291.10901253,2450216,152466.84692700,1282773546.00909870,0
2018-03-19,8189.00000000,9177.01000000,8088.40000000,8470.15000000,285211.53951100,2018-03-25 23:59:59.999,2464528929.91490584,1993351,140515.57225800,1214424116.23422213,0
2018-03-26,8470.14000000,8514.89000000,6430.00000000,6813.01000000,308729.49203100,2018-04-01 23:59:59.999,2276980709.59205236,2021451,150619.59256200,1110640017.95736709,0
2018-04-02,6813.01000000,7520.00000000,6500.00000000,7018.00000000,232320.07049900,2018-04-08 23:59:59.999,1616723766.06607239,1464142,116325.45462500,809573460.57236987,0
2018-04-09,7011.04000000,8429.54000000,6611.00000000,8355.00000000,259877.02241400,2018-04-15 23:59:59.999,1959208437.53564023,1648802,132620.41641700,999880218.14011922,0
2018-04-16,8355.07000000,9035.00000000,7825.40000000,8787.02000000,233025.38619000,2018-04-22 23:59:59.999,1952372499.38639334,1643201,119054.12687200,998226476.19908668,0
2018-04-23,8785.70000000,9759.82000000,8651.62000000,9419.00000000,306668.07214000,2018-04-29 23:59:59.999,2812613536.48155942,2118018,155630.17935000,1428135299.50438760,0
2018-04-30,9417.04000000,10020.00000000,8800.49000000,9659.01000000,222274.38854000,2018-05-06 23:59:59.999,2089890919.30010291,1677081,113653.80355000,1069078899.18062851,0
2018-05-07,9661.02000000,9689.67000000,8153.00000000,8679.71000000,224151.29875100,2018-05-13 23:59:59.999,1995981257.43474280,1724758,110160.48336000,981712737.91520858,0
2018-05-14,8679.71000000,8879.99000000,7911.90000000,8526.98000000,182713.82601200,2018-05-20 23:59:59.999,1528659945.07915334,1744095,92219.28136100,771701096.80685908,0
2018-05-21,8526.97000000,8595.31000000,7231.11000000,7338.99000000,190894.60093900,2018-05-27 23:59:59.999,1473706966.33428654,1586528,96911.18683200,747911310.86122199,0
2018-05-28,7338.99000000,7786.69000000,7032.95000000,7714.26000000,211929.27076600,2018-06-03 23:59:59.999,1580400448.72951901,1930065,117482.54749000,876505422.23824593,0
2018-06-04,7714.26000000,7765.00000000,6622.81000000,6764.99000000,211352.73747800,2018-06-10 23:59:59.999,1574558979.83733276,2117420,114201.83441300,852642290.78887995,0
2018-06-11,6765.00000000,6922.00000000,6118.68000000,6449.61000000,234080.84117100,2018-06-17 23:59:59.999,1532387822.70808579,1406168,127373.60965300,833996575.31971409,0
2018-06-18,6444.06000000,6841.74000000,5750.00000000,6136.97000000,234147.62101500,2018-06-24 23:59:59.999,1493387501.45827074,1413795,125738.64224100,802333822.68102873,0
2018-06-25,6137.95000000,6528.99000000,5780.00000000,6356.81000000,207746.55900600,2018-07-01 23:59:59.999,1282960927.49240566,1214054,112957.36097300,697781325.59832176,0
2018-07-02,6360.82000000,6818.16000000,6271.62000000,6712.10000000,211526.01905800,2018-07-08 23:59:59.999,1393368254.07600692,1322891,113263.78929400,746176284.21750867,0
2018-07-09,6712.10000000,6802.06000000,6070.00000000,6353.01000000,192452.84988000,2018-07-15 23:59:59.999,1225870847.47314433,1007888,101995.65757900,649868285.83531907,0
2018-07-16,6354.15000000,7700.00000000,6330.40000000,7394.79000000,294313.22260400,2018-07-22 23:59:59.999,2128249956.99732357,1602460,159598.81559100,1153467423.23265938,0
2018-07-23,7394.78000000,8491.77000000,7375.00000000,8211.00000000,288666.04714100,2018-07-29 23:59:59.999,2332298260.58447165,1575619,154924.10088900,1251512994.19756684,0
2018-07-30,8210.99000000,8273.00000000,6882.29000000,7024.19000000,282090.10358400,2018-08-05 23:59:59.999,2132225331.26565758,1404398,147829.46203600,1117308216.03661430,0
2018-08-06,7024.19000000,7160.00000000,5971.00000000,6308.33000000,334426.55074300,2018-08-12 23:59:59.999,2169762287.52026111,1694989,178067.43349700,1155504235.78979734,0
2018-08-13,6308.56000000,6620.00000000,5880.00000000,6477.53000000,378189.29648700,2018-08-19 23:59:59.999,2401304850.57815240,1813570,205461.82925100,1305711344.95193685,0
2018-08-20,6477.53000000,6882.54000000,6220.00000000,6700.00000000,286906.53931100,2018-08-26 23:59:59.999,1870078552.63444254,1365251,153261.48198700,999056900.50774675,0
2018-08-27,6700.00000000,7345.45000000,6646.50000000,7302.01000000,294674.91300500,2018-09-02 23:59:59.999,2064905776.21966505,1542804,162766.58532300,1140746641.75371279,0
2018-09-03,7302.00000000,7410.00000000,6111.00000000,6250.81000000,306231.62342400,2018-09-09 23:59:59.999,2060238359.34515521,1498673,162645.08716700,1094083907.53466874,0
