Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore
2019-01-07,3987.62000000,4069.80000000,3441.30000000,3476.81000000,245887.27794800,2019-01-13 23:59:59.999,927969289.15430455,1671905,124970.35950800,471682333.52194890,0
2019-01-14,3477.56000000,3720.00000000,3467.02000000,3539.28000000,199395.79296500,2019-01-20 23:59:59.999,716452001.87770063,1441654,103959.69592000,373598006.95210055,0
2019-01-21,3539.26000000,3662.94000000,3434.85000000,3550.84000000,154566.45086100,2019-01-27 23:59:59.999,549194588.04379181,1163997,81698.38696800,290345796.57221316,0
2019-01-28,3550.05000000,3557.75000000,3349.92000000,3458.11000000,186574.10542300,2019-02-03 23:59:59.999,642262558.33850544,1288715,97908.23138200,337075608.11357584,0
2019-02-04,3458.11000000,3733.58000000,3373.10000000,3680.06000000,198350.67398800,2019-02-10 23:59:59.999,696930950.57518930,1313535,105210.16581300,369766481.67223400,0
2019-02-11,3679.75000000,3700.11000000,3568.11000000,3667.58000000,167995.80513900,2019-02-17 23:59:59.999,608476271.54980941,1174687,86820.01403600,314505971.76257565,0
2019-02-18,3667.62000000,4198.00000000,3655.00000000,3743.56000000,301384.22226000,2019-02-24 23:59:59.999,1179944577.93464593,2007272,158582.45893800,621066468.49693409,0
2019-02-25,3743.56000000,3888.00000000,3677.17000000,3807.75000000,190343.24672600,2019-03-03 23:59:59.999,726304516.11421283,1369483,100202.78390200,382423582.15041919,0
2019-03-04,3807.32000000,3971.75000000,3670.69000000,3916.82000000,207833.42997000,2019-03-10 23:59:59.999,799736773.67252840,1353003,109422.64807700,421085582.83566612,0
2019-03-11,3915.99000000,4056.98000000,3810.43000000,3981.14000000,185620.34481300,2019-03-17 23:59:59.999,725510328.96129966,1303041,97860.69707600,382600175.72534757,0
2019-03-18,3981.85000000,4069.32000000,3880.01000000,3992.18000000,156283.26348300,2019-03-24 23:59:59.999,624615988.91417612,1144351,82285.46168000,328906486.03261287,0
2019-03-25,3991.35000000,4140.00000000,3888.71000000,4103.95000000,178114.87504900,2019-03-31 23:59:59.999,715252731.25724998,1291861,95038.23263400,381686902.03996087,0
2019-04-01,4102.44000000,5275.01000000,4067.00000000,5170.27000000,420989.96873800,2019-04-07 23:59:59.999,2046260260.72830678,2752257,218356.59505700,1061192535.29097398,0
2019-04-08,5170.27000000,5422.00000000,4861.22000000,5131.30000000,247866.40740500,2019-04-14 23:59:59.999,1271184321.40452200,1730890,125805.46033400,645400980.73434666,0
2019-04-15,5131.28000000,5333.42000000,4950.00000000,5256.14000000,168555.91174500,2019-04-21 23:59:59.999,875025579.97905363,1265816,87318.99744800,453504194.80540038,0
2019-04-22,5257.41000000,5600.00000000,5102.00000000,5307.52000000,247392.82390400,2019-04-28 23:59:59.999,1329057592.82658380,1770258,122046.09888300,655730729.85086243,0
2019-04-29,5309.81000000,5900.00000000,5178.80000000,5775.62000000,191971.58997500,2019-05-05 23:59:59.999,1069857115.70259369,1509653,101647.46745400,566499085.99917452,0
2019-05-06,5773.18000000,7521.78000000,5619.14000000,6967.31000000,313283.86961200,2019-05-12 23:59:59.999,2043228005.87687719,2443588,161392.34030800,1052057366.97453659,0
2019-05-13,6968.24000000,8366.00000000,6870.00000000,8148.48000000,461287.69413900,2019-05-19 23:59:59.999,3556014747.63429744,4024823,239183.08829800,1843817300.27395488,0
2019-05-20,8147.94000000,8740.00000000,7461.00000000,8614.43000000,341677.39881000,2019-05-26 23:59:59.999,2706217167.17889253,3145385,178794.67382000,1416599106.08409965,0
2019-05-27,8612.54000000,9074.26000000,8005.00000000,8725.98000000,292049.04381200,2019-06-02 23:59:59.999,2508992950.94447563,2861807,151337.37524700,1300617022.72302598,0
2019-06-03,8726.00000000,8800.95000000,7444.58000000,7628.13000000,293308.70969600,2019-06-09 23:59:59.999,2321265141.03700873,2770905,149688.73849600,1184496681.30578112,0
2019-06-10,7627.57000000,9333.00000000,7511.00000000,8953.33000000,274072.05837100,2019-06-16 23:59:59.999,2290974623.73243976,2697695,146184.88855300,1222114795.74799599,0
2019-06-17,8953.00000000,11392.64000000,8950.00000000,10906.07000000,378253.00306500,2019-06-23 23:59:59.999,3761392791.59373696,3524367,202221.60528400,2010341662.02747854,0
2019-06-24,10905.95000000,13970.00000000,10525.10000000,10854.10000000,684152.50877200,2019-06-30 23:59:59.999,8152194088.57419306,6076896,339606.94079100,4044614402.44590976,0
