Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore
2021-01-04,33000.05000000,41950.00000000,28130.00000000,38150.02000000,850700.26615200,2021-01-10 23:59:59.999,30894408653.64545837,18127566,416647.06757100,15120789261.09521495,0
2021-01-11,38150.02000000,40100.00000000,30420.00000000,35828.61000000,897339.67445000,2021-01-17 23:59:59.999,31840267961.01892181,18446663,443257.50089300,15735471852.93117042,0
2021-01-18,35824.99000000,37850.00000000,28850.00000000,32259.90000000,640226.93578500,2021-01-24 23:59:59.999,21440700273.04002577,14699334,310786.11597300,10418110249.14201343,0
2021-01-25,32259.45000000,38531.90000000,29241.72000000,33092.98000000,747463.50850900,2021-01-31 23:59:59.999,24948673733.69000799,16555006,371060.16331700,12396571060.77586003,0
2021-02-01,33092.97000000,40955.51000000,32296.16000000,38795.69000000,583442.33154400,2021-02-07 23:59:59.999,21599895189.58115991,13815026,291987.98069400,10814285526.14571773,0
2021-02-08,38795.69000000,49707.43000000,37988.89000000,48577.79000000,664186.27090900,2021-02-14 23:59:59.999,30558163844.53544086,18380270,335475.28406100,15434310277.42710641,0
2021-02-15,48580.47000000,58352.80000000,45570.79000000,57408.57000000,533487.79969900,2021-02-21 23:59:59.999,27769064381.54326372,15851564,266431.94896800,13868919408.71599032,0
2021-02-22,57412.35000000,57508.47000000,43000.00000000,45135.66000000,737125.74636500,2021-02-28 23:59:59.999,36056079517.94150238,17606321,358805.28068000,17551047321.20729957,0
2021-03-01,45134.11000000,52640.00000000,44950.53000000,50971.75000000,490819.56296800,2021-03-07 23:59:59.999,24017266082.75058310,13825664,242923.90168300,11891428274.15951021,0
2021-03-08,50959.11000000,61844.00000000,49274.67000000,58968.31000000,514559.69868500,2021-03-14 23:59:59.999,28846698413.56186936,16229755,257377.74815900,14440581804.39627176,0
2021-03-15,58976.08000000,60633.43000000,53271.34000000,57351.56000000,463194.21418000,2021-03-21 23:59:59.999,26483848363.71589063,14553773,226130.96514800,12934458930.89725699,0
2021-03-22,57351.56000000,58430.73000000,50427.56000000,55777.63000000,446278.62841300,2021-03-28 23:59:59.999,24254500734.20622091,13022316,218408.21621200,11874290386.32875222,0
2021-03-29,55777.65000000,60200.00000000,54800.01000000,58202.01000000,367477.89327300,2021-04-04 23:59:59.999,21438740639.10086236,11891110,183319.19749100,10697064859.42124876,0
2021-04-05,58202.01000000,61500.00000000,55473.00000000,60002.43000000,375865.59361400,2021-04-11 23:59:59.999,21944712196.72618414,13696365,188038.89402800,10984335663.81170216,0
2021-04-12,59998.80000000,64854.00000000,50931.30000000,56150.01000000,549048.29803200,2021-04-18 23:59:59.999,33238307417.43093745,17446531,266367.19414900,16134213581.46211927,0
2021-04-19,56150.01000000,57526.81000000,46930.00000000,49066.77000000,568462.85096000,2021-04-25 23:59:59.999,29936891043.81596597,14947615,274940.86132300,14487266259.92435533,0
2021-04-26,49066.76000000,58458.07000000,48753.44000000,56578.21000000,395983.45601300,2021-05-02 23:59:59.999,21707164512.76862292,12719227,195298.61985100,10703998531.65657049,0
2021-05-03,56578.21000000,59500.00000000,52900.00000000,58240.84000000,504478.92630300,2021-05-09 23:59:59.999,28725771451.78632514,16275966,248052.47061700,14129842033.20115189,0
2021-05-10,58240.83000000,59500.00000000,43825.39000000,46431.50000000,684880.14819700,2021-05-16 23:59:59.999,35228801446.48219432,17778177,327220.27293100,16851047061.76013277,0
2021-05-17,46426.83000000,46686.00000000,30000.00000000,34655.25000000,1386781.05214400,2021-05-23 23:59:59.999,53866174537.68214886,27170977,666702.16354200,25919373172.35901179,0
2021-05-24,34681.44000000,40841.00000000,33379.00000000,35641.27000000,786531.16394100,2021-05-30 23:59:59.999,29203522868.25162264,16942102,384497.74733100,14283624883.96589298,0
2021-05-31,35641.26000000,39476.00000000,34153.84000000,35796.31000000,528299.50493700,2021-06-06 23:59:59.999,19486187883.41845834,11520844,260787.56821700,9623174732.81866739,0
2021-06-07,35796.31000000,39380.00000000,31000.00000000,39020.57000000,700065.60491500,2021-06-13 23:59:59.999,24888579254.61198672,13781452,346610.46222700,12336051739.56994406,0
2021-06-14,39020.56000000,41330.00000000,33336.00000000,35600.16000000,610333.96208900,2021-06-20 23:59:59.999,23170552929.95740146,12585488,295955.59069300,11238614009.01921167,0
2021-06-21,35600.17000000,35750.00000000,28805.00000000,34700.34000000,907073.70759800,2021-06-27 23:59:59.999,29582225083.09103260,15069286,445188.23814000,14532263176.09752217,0
