Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore
2020-01-06,7357.64000000,8455.00000000,7346.76000000,8184.98000000,498017.84689800,2020-01-12 23:59:59.999,3978362245.86038637,3870321,251759.16943100,2010996559.17293481,0
2020-01-13,8184.97000000,9198.98000000,8055.89000000,8701.70000000,468235.62749600,2020-01-19 23:59:59.999,4075229206.68356880,4261834,235414.22295200,2049350005.82115547,0
2020-01-20,8701.72000000,8818.00000000,8238.00000000,8615.00000000,250977.00176500,2020-01-26 23:59:59.999,2139257584.57574260,2555857,126118.75901400,1075142271.94890989,0
2020-01-27,8614.39000000,9578.00000000,8535.00000000,9331.51000000,362870.20838800,2020-02-02 23:59:59.999,3344610390.03319243,3363066,184662.89981000,1701807651.78058120,0
2020-02-03,9331.59000000,10166.00000000,9093.01000000,10151.75000000,364995.86483400,2020-02-09 23:59:59.999,3508270140.59509893,3998661,186210.53720200,1790763589.10790786,0
2020-02-10,10151.72000000,10500.00000000,9638.12000000,9917.27000000,427067.58518900,2020-02-16 23:59:59.999,4316211115.18231746,5261096,210003.00256800,2123331362.94995099,0
2020-02-17,9910.70000000,10250.00000000,9350.00000000,9936.40000000,360700.46771900,2020-02-23 23:59:59.999,3518226163.31666353,3990113,180774.72559600,1764164267.18887031,0
2020-02-24,9936.40000000,9990.00000000,8411.00000000,8531.88000000,426585.45870700,2020-03-01 23:59:59.999,3834682199.60150333,4278048,206135.58366300,1852185664.72767256,0
2020-03-02,8530.30000000,9188.00000000,8000.00000000,8033.31000000,379197.13168000,2020-03-08 23:59:59.999,3340552932.03535460,3871023,187350.60791800,1652268013.47239491,0
2020-03-09,8034.76000000,8179.31000000,3782.13000000,5361.30000000,1224228.28324000,2020-03-15 23:59:59.999,7415770282.10866018,8590644,595647.06583800,3616852099.18780469,0
2020-03-16,5360.33000000,6900.00000000,4442.12000000,5816.19000000,1180843.34581500,2020-03-22 23:59:59.999,6710917850.66102064,8567146,572953.99079000,3258534733.89986174,0
2020-03-23,5816.05000000,6957.96000000,5688.00000000,5881.42000000,770380.80536000,2020-03-29 23:59:59.999,4963224056.18681841,5558649,374037.17148800,2410430651.15339243,0
2020-03-30,5880.50000000,7198.00000000,5857.76000000,6772.78000000,664784.29958300,2020-04-05 23:59:59.999,4388764837.97591744,5187309,328850.32292700,2171911522.54323749,0
2020-04-06,6772.78000000,7459.69000000,6739.98000000,6903.79000000,582804.77108700,2020-04-12 23:59:59.999,4149639337.00349419,5399736,280689.96995100,1999584846.28216863,0
2020-04-13,6903.79000000,7293.08000000,6468.27000000,7120.74000000,501345.25890300,2020-04-19 23:59:59.999,3470075398.32840905,4481179,241259.55748900,1670997362.62018018,0
2020-04-20,7121.40000000,7738.00000000,6751.00000000,7693.10000000,469098.31294700,2020-04-26 23:59:59.999,3396617806.43142183,4408245,224125.28310800,1625169356.89183539,0
2020-04-27,7693.10000000,9460.00000000,7606.00000000,8894.16000000,742165.16210400,2020-05-03 23:59:59.999,6374997759.19676330,6613200,363331.16828000,3122774832.28899526,0
2020-05-04,8894.15000000,10067.00000000,8117.00000000,8722.77000000,780478.84946600,2020-05-10 23:59:59.999,7191007480.43899635,7296812,369687.78021800,3408051320.64436195,0
2020-05-11,8722.77000000,9939.00000000,8200.00000000,9680.04000000,721487.83708700,2020-05-17 23:59:59.999,6639127977.31872860,6691363,348124.30474300,3206329814.30966878,0
2020-05-18,9681.11000000,9950.00000000,8700.00000000,8720.34000000,517248.17753600,2020-05-24 23:59:59.999,4856615582.53833233,5231275,243871.78378200,2291792677.44717872,0
2020-05-25,8718.14000000,9740.00000000,8642.72000000,9448.27000000,425528.24616700,2020-05-31 23:59:59.999,3923220452.29656258,4709904,209371.47266800,1931386248.84549843,0
2020-06-01,9448.27000000,10380.00000000,9266.00000000,9746.99000000,427822.49534700,2020-06-07 23:59:59.999,4156656856.71064880,4699565,208908.26182000,2031849904.28877416,0
2020-06-08,9746.99000000,9992.72000000,9113.00000000,9342.10000000,336172.77151700,2020-06-14 23:59:59.999,3222940574.57083382,3925947,158086.69559000,1516390238.25312586,0
2020-06-15,9342.10000000,9589.00000000,8910.45000000,9294.69000000,323565.71184200,2020-06-21 23:59:59.999,3025511745.34879693,3601511,157067.67168000,1469318218.59400742,0
2020-06-22,9294.69000000,9780.00000000,8833.00000000,9116.35000000,343601.08315400,2020-06-28 23:59:59.999,3199982407.72062904,3556356,162648.33107800,1515724945.39640569,0
2020-06-29,9116.16000000,9292.00000000,8893.03000000,9069.41000000,247256.19512500,2020-07-05 23:59:59.999,2255910006.08682482,2670420,120007.88584400,1095085364.72193474,0
2020-07-06,9069.41000000,9470.00000000,9055.92000000,9302.75000000,284964.99967300,2020-07-12 23:59:59.999,2642350802.57967435,3618928,139286.66153200,1291693618.97022570,0
2020-07-13,9303.31000000,9343.82000000,9047.25000000,9208.99000000,247602.69209500,2020-07-19 23:59:59.999,2275998962.74170516,3834095,117517.40617100,1080194174.82190316,0
2020-07-20,9208.99000000,10111.00000000,9131.00000000,9931.54000000,346433.53511500,2020-07-26 23:59:59.999,3295996462.14176744,5037013,167612.90486800,1596041010.69975706,0
