Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore
2017-08-17 04:00:00,4261.48000000,4280.56000000,4261.48000000,4261.48000000,2.18906100,2017-08-17 04:04:59.999,9333.62096220,9,0.48906100,2089.10496220,0
2017-08-17 04:05:00,4261.48000000,4261.48000000,4261.48000000,4261.48000000,0.00000000,2017-08-17 04:09:59.999,0.00000000,0,0.00000000,0.00000000,0
2017-08-17 04:10:00,4261.48000000,4261.48000000,4261.48000000,4261.48000000,0.00000000,2017-08-17 04:14:59.999,0.00000000,0,0.00000000,0.00000000,0
2017-08-17 04:15:00,4261.48000000,4264.88000000,4261.48000000,4261.48000000,0.48466600,2017-08-17 04:19:59.999,2065.44782868,9,0.08545500,364.21813640,0
2017-08-17 04:20:00,4264.88000000,4266.29000000,4264.88000000,4266.29000000,2.32857000,2017-08-17 04:24:59.999,9931.16112417,11,1.54649100,6595.68803865,0
2017-08-17 04:25:00,4266.29000000,4270.41000000,4261.32000000,4261.45000000,6.30662900,2017-08-17 04:29:59.999,26894.52409332,20,1.81516700,7744.02882043,0
2017-08-17 04:30:00,4280.00000000,4296.63000000,4267.99000000,4296.63000000,7.93813300,2017-08-17 04:34:59.999,33930.63395853,23,7.87369100,33653.75052807,0
2017-08-17 04:35:00,4300.38000000,4300.38000000,4300.38000000,4300.38000000,5.62659600,2017-08-17 04:39:59.999,24196.50090648,14,5.62659600,24196.50090648,0
2017-08-17 04:40:00,4300.38000000,4310.07000000,4300.38000000,4310.07000000,8.35882300,2017-08-17 04:44:59.999,35953.78270318,21,6.92103000,29770.72644184,0
2017-08-17 04:45:00,4310.07000000,4310.07000000,4292.01000000,4292.01000000,2.44810000,2017-08-17 04:49:59.999,10533.42236700,14,1.44810000,6241.41236700,0
2017-08-17 04:50:00,4292.01000000,4313.62000000,4292.01000000,4313.60000000,4.75888300,2017-08-17 04:54:59.999,20501.18752102,21,3.19887800,13792.44460287,0
2017-08-17 04:55:00,4302.48000000,4313.62000000,4291.37000000,4308.83000000,6.74154800,2017-08-17 04:59:59.999,29025.85692846,29,6.15603400,26504.60313910,0
2017-08-17 05:00:00,4308.83000000,4308.83000000,4304.31000000,4304.31000000,0.48285500,2017-08-17 05:04:59.999,2080.05646965,13,0.37585500,1619.49529965,0
2017-08-17 05:05:00,4308.83000000,4328.69000000,4308.83000000,4328.69000000,4.27477200,2017-08-17 05:09:59.999,18442.34436822,21,2.85725400,12334.50028428,0
2017-08-17 05:10:00,4328.69000000,4328.69000000,4304.31000000,4304.31000000,0.34352600,2017-08-17 05:14:59.999,1484.13227336,10,0.26352600,1139.78747336,0
2017-08-17 05:15:00,4320.00000000,4320.00000000,4312.14000000,4320.00000000,5.45153300,2017-08-17 05:19:59.999,23518.41095103,11,5.40397300,23312.95222663,0
2017-08-17 05:20:00,4320.00000000,4320.00000000,4320.00000000,4320.00000000,3.44647300,2017-08-17 05:24:59.999,14888.76336000,11,3.44647300,14888.76336000,0
2017-08-17 05:25:00,4319.22000000,4320.00000000,4319.22000000,4320.00000000,7.04948900,2017-08-17 05:29:59.999,30450.58509816,7,7.04948900,30450.58509816,0
2017-08-17 05:30:00,4320.00000000,4320.00000000,4320.00000000,4320.00000000,1.02737800,2017-08-17 05:34:59.999,4438.27296000,11,1.02737800,4438.27296000,0
2017-08-17 05:35:00,4320.00000000,4320.00000000,4291.37000000,4291.37000000,1.12807500,2017-08-17 05:39:59.999,4869.42562079,14,0.99330800,4291.09056000,0
2017-08-17 05:40:00,4291.37000000,4291.37000000,4291.37000000,4291.37000000,0.00000000,2017-08-17 05:44:59.999,0.00000000,0,0.00000000,0.00000000,0
2017-08-17 05:45:00,4297.04000000,4297.04000000,4297.04000000,4297.04000000,0.00788400,2017-08-17 05:49:59.999,33.87786336,1,0.00788400,33.87786336,0
2017-08-17 05:50:00,4315.32000000,4315.32000000,4315.32000000,4315.32000000,0.00094300,2017-08-17 05:54:59.999,4.06934676,1,0.00094300,4.06934676,0
