Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore
2017-08-14,4261.48000000,4485.39000000,3850.00000000,4086.29000000,2843.43142600,2017-08-20 23:59:59.999,12021576.48265154,13134,2240.24924000,9482742.92094674,0
2017-08-21,4069.13000000,4453.91000000,3400.00000000,4310.01000000,4599.39662900,2017-08-27 23:59:59.999,18978983.50987317,37826,1755.53026500,7173180.19744751,0
2017-08-28,4310.01000000,4939.19000000,4124.54000000,4509.08000000,4753.84337600,2017-09-03 23:59:59.999,21581679.92866748,35717,1371.03442800,6237542.20612072,0
2017-09-04,4505.00000000,4788.59000000,3603.00000000,4130.37000000,6382.78774500,2017-09-10 23:59:59.999,27307824.36893929,42372,2821.42273900,12120979.77068529,0
2017-09-11,4153.62000000,4394.59000000,2817.00000000,3699.99000000,8106.70512700,2017-09-17 23:59:59.999,30026796.42861788,50423,3763.12845200,13956149.18844029,0
2017-09-18,3690.00000000,4123.20000000,3505.55000000,3660.02000000,5908.32335000,2017-09-24 23:59:59.999,22501242.65454204,56785,2821.43888700,10711864.12380805,0
2017-09-25,3660.02000000,4406.52000000,3653.69000000,4378.48000000,5782.30542400,2017-10-01 23:59:59.999,23750419.76839855,71484,2482.36136700,10200163.49185349,0
2017-10-02,4400.00000000,4658.00000000,4110.00000000,4640.00000000,4708.27295600,2017-10-08 23:59:59.999,20366578.25125568,59658,2077.80349000,9008752.49455302,0
2017-10-09,4640.00000000,5922.30000000,4550.00000000,5709.99000000,7913.92583700,2017-10-15 23:59:59.999,42038755.95644524,61638,4280.12726900,22483871.99105491,0
2017-10-16,5710.00000000,6171.00000000,5037.95000000,5950.02000000,12157.76944700,2017-10-22 23:59:59.999,69446644.86619962,75969,5501.91240000,31411073.98003196,0
2017-10-23,5975.00000000,6189.88000000,5286.98000000,6169.98000000,13133.99457000,2017-10-29 23:59:59.999,75229774.73890872,74778,5845.14325200,33499318.44481458,0
2017-10-30,6133.01000000,7590.25000000,6030.00000000,7345.01000000,11663.20964800,2017-11-05 23:59:59.999,79517426.53915779,98387,5037.95081100,34445720.64501364,0
2017-11-06,7345.10000000,7770.02000000,5325.01000000,5811.03000000,18916.31990000,2017-11-12 23:59:59.999,126612916.75463176,132654,8296.83946000,55517892.65634026,0
2017-11-13,5839.94000000,8123.15000000,5699.99000000,8038.00000000,19791.10101100,2017-11-19 23:59:59.999,146293856.48316984,107207,9966.29773500,73714925.58366316,0
2017-11-20,8057.11000000,9350.00000000,7801.00000000,9128.02000000,28921.85979200,2017-11-26 23:59:59.999,240238717.93883664,129930,14522.91338900,120677884.10182005,0
2017-11-27,9128.00000000,11825.00000000,8520.00000000,11165.41000000,48427.94965000,2017-12-03 23:59:59.999,493261876.52474081,232180,27122.18773100,276199673.05560422,0
2017-12-04,11165.41000000,17204.99000000,10802.00000000,14899.98000000,72469.97762700,2017-12-10 23:59:59.999,1022228203.79649083,393420,42089.10953200,596373967.67022420,0
2017-12-11,14946.26000000,19798.68000000,14666.56000000,18860.02000000,67851.48621500,2017-12-17 23:59:59.999,1143594375.37658067,539238,33646.70546800,566603311.05147657,0
2017-12-18,18860.04000000,19300.00000000,10961.00000000,13500.00000000,135385.44032200,2017-12-24 23:59:59.999,1998479799.11456170,1007841,67305.69647400,989270027.78444365,0
2017-12-25,13500.00000000,16498.05000000,11750.00000000,13716.36000000,116522.75432100,2017-12-31 23:59:59.999,1636613418.33164790,1040980,62664.76657500,882011540.53478545,0
