Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore
2023-01-01 00:00:00,16541.77000000,16559.77000000,16508.39000000,16533.04000000,15515.82327000,2023-01-01 03:59:59.999,256565046.24440780,529532,7617.41262000,125959681.22808840,0
2023-01-01 04:00:00,16533.04000000,16550.00000000,16499.01000000,16526.19000000,16532.24115000,2023-01-01 07:59:59.999,273208014.18867230,502695,8215.80952000,135772740.03246280,0
2023-01-01 08:00:00,16525.70000000,16557.00000000,16505.20000000,16556.66000000,15915.96701000,2023-01-01 11:59:59.999,263119992.19629640,531758,8004.23188000,132326590.60298730,0
2023-01-01 12:00:00,16556.66000000,16572.94000000,16533.68000000,16558.73000000,15046.09096000,2023-01-01 15:59:59.999,249044515.38484690,520676,7515.69523000,124401941.54153330,0
2023-01-01 16:00:00,16558.73000000,16623.65000000,16558.00000000,16603.08000000,18532.64857000,2023-01-01 19:59:59.999,307401962.52476670,594496,9437.40515000,156541081.52146320,0
2023-01-01 20:00:00,16603.53000000,16628.00000000,16586.24000000,16616.75000000,15382.64278000,2023-01-01 23:59:59.999,255454259.13822250,539198,7758.22728000,128839638.90852370,0
2023-01-02 00:00:00,16617.17000000,16707.25000000,16548.70000000,16661.94000000,19463.47510000,2023-01-02 03:59:59.999,323032602.87927700,619992,9720.70175000,161345530.72567860,0
2023-01-02 04:00:00,16662.38000000,16769.51000000,16619.44000000,16721.28000000,26026.88178000,2023-01-02 07:59:59.999,434177885.60997090,777019,12891.53976000,215065867.86373760,0
2023-01-02 08:00:00,16721.27000000,16772.01000000,16704.07000000,16735.11000000,23267.94119000,2023-01-02 11:59:59.999,389312521.37502650,799698,11767.58225000,196896293.30732680,0
2023-01-02 12:00:00,16735.51000000,16750.00000000,16669.15000000,16734.66000000,21747.21491000,2023-01-02 15:59:59.999,363473571.02339380,755940,10798.20820000,180482354.75262040,0
