Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore,ha_signal,ema_200_signal,stoch_signal
2019-01-01 00:00:00,3701.23,3703.72,3689.88,3697.31,190.974095,2019-01-01 00:14:59.999,705914.81997085,1325,106.065467,392104.23914955,0,0.0,0.0,0.0
2019-01-01 00:15:00,3697.91,3698.75,3690.56,3694.2,131.742721,2019-01-01 00:29:59.999,486661.3075282,1073,74.94318,276859.67055174,0,-1.0,-1.0,0.0
2019-01-01 00:30:00,3693.96,3705.0,3693.0,3702.39,171.877714,2019-01-01 00:44:59.999,635875.8632198,1589,95.601285,353676.33939708,0,0.0,1.0,0.0
2019-01-01 00:45:00,3702.05,3713.0,3695.02,3700.31,191.77289,2019-01-01 00:59:59.999,710617.23846608,1547,94.245382,349322.15527636,0,0.0,1.0,0.0
2019-01-01 01:00:00,3700.2,3702.73,3691.22,3701.03,139.872706,2019-01-01 01:14:59.999,517177.96622648,1357,74.994622,277319.43207478,0,0.0,1.0,0.0
2019-01-01 01:15:00,3702.39,3702.39,3695.46,3699.25,135.318759,2019-01-01 01:29:59.999,500448.92046554,1075,70.166941,259517.08380639,0,0.0,1.0,0.0
2019-01-01 01:30:00,3699.08,3700.0,3689.03,3691.41,140.344071,2019-01-01 01:44:59.999,518769.97421575,1159,52.091666,192566.78086111,0,-1.0,-1.0,0.0
2019-01-01 01:45:00,3691.34,3692.64,3684.22,3689.69,198.003579,2019-01-01 01:59:59.999,730302.95910971,1495,123.391219,455115.38494479,0,-1.0,-1.0,0.0
2019-01-01 02:00:00,3689.67,3695.95,3687.22,3691.67,273.729883,2019-01-01 02:14:59.999,1010384.14205511,1490,126.392834,466545.3799005,0,0.0,-1.0,0.0
2019-01-01 02:15:00,3691.65,3694.71,3675.04,3686.64,245.75854,2019-01-01 02:29:59.999,906342.13736705,2022,127.261143,469483.64615062,0,0.0,-1.0,0.0
2019-01-01 02:30:00,3684.76,3689.99,3683.17,3686.97,180.172022,2019-01-01 02:44:59.999,664248.88859968,1424,92.053817,339431.93181454,0,0.0,-1.0,0.0
2019-01-01 02:45:00,3687.55,3692.38,3680.0,3690.0,195.641736,2019-01-01 02:59:59.999,721069.13200199,1455,126.149324,465008.38064005,0,0.0,-1.0,0.0
2019-01-01 03:00:00,3690.0,3698.95,3687.58,3698.27,238.261941,2019-01-01 03:14:59.999,879842.03537981,1501,124.171653,458601.50658228,0,0.0,1.0,0.0
2019-01-01 03:15:00,3696.21,3699.77,3692.43,3696.61,160.437875,2019-01-01 03:29:59.999,593241.25798538,1045,101.783424,376394.45420837,0,0.0,1.0,0.0
2019-01-01 03:30:00,3696.61,3696.61,3688.25,3688.28,188.830619,2019-01-01 03:44:59.999,697255.22423421,1605,105.015757,387787.05658769,0,0.0,-1.0,0.0
2019-01-01 03:45:00,3689.44,3695.0,3685.78,3693.13,209.184383,2019-01-01 03:59:59.999,772083.20184393,1558,128.977547,476073.94871684,0,0.0,-1.0,0.0
2019-01-01 04:00:00,3692.32,3720.0,3690.73,3707.18,422.854404,2019-01-01 04:14:59.999,1565012.14117746,2757,295.088111,1092263.83804982,0,0.0,1.0,0.0
2019-01-01 04:15:00,3706.0,3709.21,3685.94,3696.52,323.532946,2019-01-01 04:29:59.999,1197424.20812531,1959,139.022038,514688.28811525,0,0.0,1.0,0.0
2019-01-01 04:30:00,3697.0,3698.84,3689.72,3694.49,236.955293,2019-01-01 04:44:59.999,875883.18785438,1374,129.354095,478199.80092443,0,-1.0,-1.0,0.0
2019-01-01 04:45:00,3694.49,3702.25,3691.66,3692.71,334.110266,2019-01-01 04:59:59.999,1234617.21005819,1818,207.531289,766954.19804737,0,0.0,-1.0,0.0
2019-01-01 05:00:00,3693.98,3702.04,3692.73,3701.66,222.938368,2019-01-01 05:14:59.999,824516.80301278,1243,120.705521,446467.41826307,0,0.0,1.0,0.0
2019-01-01 05:15:00,3700.71,3704.44,3698.51,3700.05,125.588368,2019-01-01 05:29:59.999,464896.773586,987,81.563819,301941.53041282,0,1.0,1.0,0.0
